工作	gong zuo 
拓宽	tuo kuan 
有机	you ji 
监委	jian wei 
便捷	bian jie 
正式	zheng shi 
检疫	jian yi 
扣除	kou chu 
召集人	zhao ji ren 
传统	chuan tong 
自由	zi you 
专职	zhuan zhi 
外贸	wai mao 
形势	xing shi 
物质	wu zhi 
对口	dui kou 
智能化	zhi neng hua 
行使	xing shi 
等级	deng ji 
服务水平	fu wu shui ping 
优惠政策	you hui zheng ce 
护师	hu shi 
解释	jie shi 
督促检查	du cu jian cha 
类型	lei xing 
水利	shui li 
服务质量	fu wu zhi liang 
建筑	jian zhu 
较大	jiao da 
大力发展	da li fa zhan 
底线	di xian 
实体	shi ti 
设在	she zai 
采集	cai ji 
性质	xing zhi 
侵犯	qin fan 
老年	lao nian 
竞争	jing zheng 
稳妥	wen tuo 
重组	chong zu 
国家计委	guo jia ji wei 
管理权限	guan li quan xian 
收益	shou yi 
组织部	zu zhi bu 
货运	huo yun 
办学	ban xue 
照护	zhao hu 
行动计划	xing dong ji hua 
暂时	zan shi 
丰富	feng fu 
弘扬	hong yang 
特定	te ding 
商会	shang hui 
国家统计局	guo jia tong ji ju 
办事处	ban shi chu 
国防	guo fang 
从业人员	cong ye ren yuan 
其中	qi zhong 
报请	bao qing 
回应	hui ying 
精简	jing jian 
退役军人	tui yi jun ren 
严禁	yan jin 
防护	fang hu 
委等	wei deng 
运动	yun dong 
时限	shi xian 
联系	lian xi 
效果	xiao guo 
教学	jiao xue 
群体	qun ti 
传承	chuan cheng 
公路	gong lu 
高标准	gao biao zhun 
贫困地区	pin kun di qu 
辽宁省	liao ning sheng 
按程序	an cheng xu 
充分利用	chong fen li yong 
四级	si ji 
阶段	jie duan 
传播	chuan bo 
行政处罚	xing zheng chu fa 
主治医师	zhu zhi yi shi 
谈话	tan hua 
主管	zhu guan 
刑事责任	xing shi ze ren 
所有	suo you 
药物	yao wu 
第九	di jiu 
浙江	zhe jiang 
中国人民银行	zhong guo ren min yin hang 
党政	dang zheng 
部等	bu deng 
西藏自治区	xi zang zi zhi qu 
指挥	zhi hui 
医务人员	yi wu ren yuan 
同步	tong bu 
鉴定	jian ding 
拨付	bo fu 
当前	dang qian 
动员	dong yuan 
金融资本	jin rong zi ben 
总量	zong liang 
通关	tong guan 
空间规划	kong jian gui hua 
中央宣传部	zhong yang xuan chuan bu 
外交部	wai jiao bu 
人数	ren shu 
税务	shui wu 
公务用车	gong wu yong che 
制造业	zhi zao ye 
组长	zu zhang 
重复	chong fu 
出资人	chu zi ren 
用人单位	yong ren dan wei 
院校	yuan xiao 
提请	ti qing 
香港	xiang gang 
享有	xiang you 
履职	lv zhi 
工委	gong wei 
强国	qiang guo 
限期	xian qi 
处处长	chu chu zhang 
任免	ren mian 
甘肃省	gan su sheng 
负面	fu mian 
信息技术	xin xi ji shu 
构成犯罪	gou cheng fan zui 
保存	bao cun 
创业投资	chuang ye tou zi 
主导	zhu dao 
适度	shi du 
民用机场	min yong ji chang 
革命	ge ming 
同济	tong ji 
减轻	jian qing 
自行	zi xing 
海南省	hai nan sheng 
落地	luo di 
外资	wai zi 
组委会	zu wei hui 
人民币	ren min bi 
常委	chang wei 
送审稿	song shen gao 
创新能力	chuang xin neng li 
志愿者	zhi yuan zhe 
村民	cun min 
共建	gong jian 
擅自	shan zi 
国家邮政局	guo jia you zheng ju 
传染病	chuan ran bing 
副县长	fu xian zhang 
研究所	yan jiu suo 
整顿	zheng dun 
汇总	hui zong 
地方党委	di fang dang wei 
证券	zheng quan 
内蒙古自治区	nei meng gu zi zhi qu 
垃圾	la ji 
西部	xi bu 
天然气	tian ran qi 
更新	geng xin 
职数	zhi shu 
停车	ting che 
秘书长	mi shu zhang 
政协	zheng xie 
市场准入	shi chang zhun ru 
通道	tong dao 
四个	si ge 
权责	quan ze 
军民	jun min 
平等	ping deng 
他人	ta ren 
工作组	gong zuo zu 
变化	bian hua 
舆论	yu lun 
东北地区	dong bei di qu 
以外	yi wai 
保税	bao shui 
人群	ren qun 
用户	yong hu 
改革开放	gai ge kai fang 
包装	bao zhuang 
不动产	bu dong chan 
代表大会	dai biao da hui 
各种	ge zhong 
产权	chan quan 
纳税	na shui 
离退休	li tui xiu 
强制	qiang zhi 
隐患	yin huan 
党章	dang zhang 
节约	jie yue 
坚定	jian ding 
违法犯罪	wei fa fan zui 
分离	fen li 
湖北	hu bei 
虚假	xu jia 
企业家	qi ye jia 
行政区域	xing zheng qu yu 
国家林业局	guo jia lin ye ju 
普通	pu tong 
论证	lun zheng 
不力	bu li 
施策	shi ce 
小微	xiao wei 
面积	mian ji 
自身	zi shen 
科科长	ke ke zhang 
控股	kong gu 
候选人	hou xuan ren 
金融服务	jin rong fu wu 
省份	sheng fen 
出入境	chu ru jing 
诊疗	zhen liao 
扶贫办	fu pin ban 
专门	zhuan men 
林草局	lin cao ju 
报批	bao pi 
公告	gong gao 
内科	nei ke 
全国妇联	quan guo fu lian 
智慧	zhi hui 
环境治理	huan jing zhi li 
较重	jiao zhong 
中央组织部	zhong yang zu zhi bu 
国际化	guo ji hua 
全体会议	quan ti hui yi 
组织协调	zu zhi xie tiao 
积极参与	ji ji can yu 
稳步	wen bu 
医疗纠纷	yi liao jiu fen 
互联互通	hu lian hu tong 
被执行人	bei zhi xing ren 
广电总局	guang dian zong ju 
一致	yi zhi 
收取	shou qu 
长效机制	zhang xiao ji zhi 
侵权	qin quan 
核定	he ding 
派出	pai chu 
兼任	jian ren 
政务信息	zheng wu xin xi 
生前	sheng qian 
放宽	fang kuan 
医药卫生	yi yao wei sheng 
扎实	zha shi 
所在	suo zai 
投融资	tou rong zi 
印章	yin zhang 
互动	hu dong 
部门规章	bu men gui zhang 
时期	shi qi 
收到	shou dao 
党务	dang wu 
园区	yuan qu 
破坏	po huai 
多元化	duo yuan hua 
犯罪	fan zui 
设区	she qu 
出资	chu zi 
一线	yi xian 
严肃	yan su 
动能	dong neng 
吉林省	ji lin sheng 
融入	rong ru 
夯实	hang shi 
新兴产业	xin xing chan ye 
合并	he bing 
武警	wu jing 
特殊教育	te shu jiao yu 
常务会议	chang wu hui yi 
随机	sui ji 
中介	zhong jie 
煤矿	mei kuang 
联勤	lian qin 
搬迁	ban qian 
经营性	jing ying xing 
分公司	fen gong si 
新疆生产建设兵团	xin jiang sheng chan jian she bing tuan 
无法	wu fa 
激励机制	ji li ji zhi 
现行	xian xing 
宗教事务	zong jiao shi wu 
立足	li zu 
政府职能	zheng fu zhi neng 
区内	qu nei 
改为	gai wei 
港澳台	gang ao tai 
石油	shi you 
机关党委	ji guan dang wei 
国家药监局	guo jia yao jian ju 
排查	pai cha 
配送	pei song 
公共资源	gong gong zi yuan 
分局	fen ju 
政府部门	zheng fu bu men 
责任者	ze ren zhe 
响应	xiang ying 
秘密	mi mi 
国民经济	guo min jing ji 
人民法院	ren min fa yuan 
合法	he fa 
分管	fen guan 
体现	ti xian 
员工	yuan gong 
新增	xin zeng 
预期	yu qi 
总队	zong dui 
全面落实	quan mian luo shi 
指南	zhi nan 
团体	tuan ti 
绩效考核	ji xiao kao he 
资源共享	zi yuan gong xiang 
产业园	chan ye yuan 
实验室	shi yan shi 
名录	ming lu 
常务委员会	chang wu wei yuan hui 
初步	chu bu 
新闻	xin wen 
人大常委会	ren da chang wei hui 
邮政	you zheng 
设定	she ding 
市级	shi ji 
普法	pu fa 
新冠	xin guan 
列为	lie wei 
海外	hai wai 
核实	he shi 
随意	sui yi 
联网	lian wang 
能够	neng gou 
先试	xian shi 
泰康	tai kang 
科主任	ke zhu ren 
原料	yuan liao 
征求意见	zheng qiu yi jian 
占用	zhan yong 
城乡建设	cheng xiang jian she 
证书	zheng shu 
火神	huo shen 
减排	jian pai 
公益	gong yi 
获取	huo qu 
双方	shuang fang 
供养	gong yang 
协会	xie hui 
病区	bing qu 
影响力	ying xiang li 
进展	jin zhan 
民政部门	min zheng bu men 
维修	wei xiu 
铁路局	tie lu ju 
简政放权	jian zheng fang quan 
领导职务	ling dao zhi wu 
存量	cun liang 
延长	yan chang 
关心	guan xin 
快速	kuai su 
宪法	xian fa 
湿地	shi di 
原因	yuan yin 
合规	he gui 
董事	dong shi 
妇幼保健	fu you bao jian 
系统性	xi tong xing 
落户	luo hu 
纠纷	jiu fen 
多元	duo yuan 
五年	wu nian 
河北	he bei 
查询	cha xun 
结构调整	jie gou tiao zheng 
科研人员	ke yan ren yuan 
核准	he zhun 
不合理	bu he li 
电商	dian shang 
红线	hong xian 
律师	lv shi 
党的纪律	dang de ji lv 
身份	shen fen 
中央委员会	zhong yang wei yuan hui 
签订	qian ding 
保税区	bao shui qu 
拒绝	ju jue 
调解	tiao jie 
调动	diao dong 
民航局	min hang ju 
巡察	xun cha 
宗教团体	zong jiao tuan ti 
市委	shi wei 
休闲	xiu xian 
意义	yi yi 
电梯	dian ti 
直属单位	zhi shu dan wei 
大队	da dui 
试行	shi xing 
新疆	xin jiang 
澳门	ao men 
审评	shen ping 
保障机制	bao zhang ji zhi 
危险	wei xian 
提前	ti qian 
天津	tian jin 
调度	diao du 
发放	fa fang 
执法机关	zhi fa ji guan 
严格控制	yan ge kong zhi 
生产经营者	sheng chan jing ying zhe 
生育	sheng yu 
研判	yan pan 
医疗队	yi liao dui 
青海省	qing hai sheng 
处长	chu zhang 
和谐	he xie 
管理体系	guan li ti xi 
公安	gong an 
治疗	zhi liao 
警衔	jing xian 
清洁	qing jie 
不良	bu liang 
广播	guang bo 
第二款	di er kuan 
凭证	ping zheng 
院区	yuan qu 
下放	xia fang 
地震	di zhen 
银监会	yin jian hui 
劳动者	lao dong zhe 
尽快	jin kuai 
普遍	pu bian 
紧急	jin ji 
普及	pu ji 
定位	ding wei 
文化名城	wen hua ming cheng 
制作	zhi zuo 
限额	xian e 
技术创新	ji shu chuang xin 
监管部门	jian guan bu men 
直属	zhi shu 
冷链	leng lian 
山东	shan dong 
副处长	fu chu zhang 
参考	can kao 
派出所	pai chu suo 
京津冀	jing jin ji 
创建	chuang jian 
划转	hua zhuan 
真实	zhen shi 
壮大	zhuang da 
任期	ren qi 
提质	ti zhi 
法治化	fa zhi hua 
目的	mu di 
通用	tong yong 
中国残联	zhong guo can lian 
灾情	zai qing 
使用权	shi yong quan 
文化遗产	wen hua yi chan 
除外	chu wai 
谋划	mou hua 
残疾儿童	can ji er tong 
大幅	da fu 
消除	xiao chu 
搭建	da jian 
财政资金	cai zheng zi jin 
港口	gang kou 
氛围	fen wei 
赔偿	pei chang 
城镇化	cheng zhen hua 
商事	shang shi 
教授	jiao shou 
光谷	guang gu 
校长	xiao zhang 
煤炭	mei tan 
广告	guang gao 
山西	shan xi 
新能源	xin neng yuan 
同一	tong yi 
快件	kuai jian 
延伸	yan shen 
管理机构	guan li ji gou 
假冒伪劣	jia mao wei lie 
多渠道	duo qu dao 
领导人员	ling dao ren yuan 
特困	te kun 
受托	shou tuo 
组织部门	zu zhi bu men 
查验	cha yan 
证据	zheng ju 
依纪	yi ji 
争议	zheng yi 
专用	zhuan yong 
杠杆	gang gan 
移交	yi jiao 
数据共享	shu ju gong xiang 
用水	yong shui 
美丽	mei li 
推广应用	tui guang ying yong 
长江	chang jiang 
广东	guang dong 
事故	shi gu 
分支机构	fen zhi ji gou 
化学品	hua xue pin 
民营	min ying 
联运	lian yun 
开发利用	kai fa li yong 
文化部	wen hua bu 
决定性	jue ding xing 
审慎	shen shen 
暂行条例	zan xing tiao li 
毕业生	bi ye sheng 
权力	quan li 
全程	quan cheng 
制约	zhi yue 
压缩	ya suo 
医用	yi yong 
预算内	yu suan nei 
事业性	shi ye xing 
枢纽	shu niu 
纪律检查	ji lv jian cha 
要点	yao dian 
持有人	chi you ren 
用人	yong ren 
品质	pin zhi 
奥林匹克	ao lin pi ke 
领导成员	ling dao cheng yuan 
载体	zai ti 
养殖	yang zhi 
赋予	fu yu 
全面推行	quan mian tui xing 
压减	ya jian 
居住证	ju zhu zheng 
挂钩	gua gou 
跨部门	kua bu men 
参保	can bao 
农户	nong hu 
完整	wan zheng 
攻坚战	gong jian zhan 
合法性	he fa xing 
属地	shu di 
立即	li ji 
重视	zhong shi 
实施细则	shi shi xi ze 
当事人	dang shi ren 
贡献	gong xian 
中国人民解放军	zhong guo ren min jie fang jun 
短板	duan ban 
认为	ren wei 
城乡居民	cheng xiang ju min 
透明	tou ming 
设防	she fang 
吊销	diao xiao 
至少	zhi shao 
经办	jing ban 
追溯	zhui su 
综合性	zong he xing 
计划生育	ji hua sheng yu 
创新型	chuang xin xing 
民营企业	min ying qi ye 
多层次	duo ceng ci 
全国性	quan guo xing 
部副	bu fu 
最大	zui da 
统筹规划	tong chou gui hua 
法院	fa yuan 
复工	fu gong 
评定	ping ding 
正职	zheng zhi 
增收	zeng shou 
高等学校	gao deng xue xiao 
党纪	dang ji 
武警部队	wu jing bu dui 
严厉打击	yan li da ji 
异地	yi di 
招聘	zhao pin 
辐射	fu she 
全体	quan ti 
文物保护	wen wu bao hu 
医学院	yi xue yuan 
战区	zhan qu 
重大项目	zhong da xiang mu 
高速公路	gao su gong lu 
子女	zi nv 
顶层	ding ceng 
突发	tu fa 
贵州	gui zhou 
关切	guan qie 
窗口	chuang kou 
泄露	xie lou 
破除	po chu 
劳务	lao wu 
钢铁	gang tie 
本年度	ben nian du 
诉讼	su song 
组织生活	zu zhi sheng huo 
研究院	yan jiu yuan 
职称	zhi cheng 
违规行为	wei gui xing wei 
导致	dao zhi 
消毒	xiao du 
合一	he yi 
援助	yuan zhu 
工具	gong ju 
弄虚作假	nong xu zuo jia 
结构性	jie gou xing 
招标	zhao biao 
公共利益	gong gong li yi 
主持	zhu chi 
常委会	chang wei hui 
信贷	xin dai 
运转	yun zhuan 
行政复议	xing zheng fu yi 
灭火	mie huo 
社会公众	she hui gong zhong 
日内	ri nei 
职位	zhi wei 
循环	xun huan 
率先	shuai xian 
交办	jiao ban 
低于	di yu 
政策性	zheng ce xing 
冰雪	bing xue 
表现	biao xian 
审判	shen pan 
云南	yun nan 
总医院	zong yi yuan 
医疗保险	yi liao bao xian 
医科大学	yi ke da xue 
检查员	jian cha yuan 
放管	fang guan 
藏族	zang zu 
缴费	jiao fei 
集成电路	ji cheng dian lu 
巡视员	xun shi yuan 
良好氛围	liang hao fen wei 
归集	gui ji 
中心医院	zhong xin yi yuan 
保障体系	bao zhang ti xi 
农田	nong tian 
从严	cong yan 
技术开发区	ji shu kai fa qu 
中小学	zhong xiao xue 
镇党委	zhen dang wei 
作风	zuo feng 
守信	shou xin 
税务机关	shui wu ji guan 
兼职	jian zhi 
缴纳	jiao na 
法定代表	fa ding dai biao 
践行	jian xing 
河南	he nan 
名义	ming yi 
仓储	cang chu 
短缺	duan que 
不少	bu shao 
社会化	she hui hua 
上线	shang xian 
所长	suo zhang 
关爱	guan ai 
反拐	fan guai 
深入开展	shen ru kai zhan 
新兴	xin xing 
表扬	biao yang 
共青团中央	gong qing tuan zhong yang 
平衡	ping heng 
产品质量	chan pin zhi liang 
大众	da zhong 
学前教育	xue qian jiao yu 
重庆	chong qing 
油气	you qi 
深圳市	shen zhen shi 
粮食局	liang shi ju 
承接	cheng jie 
江苏	jiang su 
营业执照	ying ye zhi zhao 
国库	guo ku 
大学	da xue 
遇到	yu dao 
层级	ceng ji 
中西部	zhong xi bu 
贯彻执行	guan che zhi xing 
薪酬	xin chou 
负有	fu you 
废弃物	fei qi wu 
决算	jue suan 
过剩	guo sheng 
积极支持	ji ji zhi chi 
拐卖人口	guai mai ren kou 
集群	ji qun 
采取措施	cai qu cuo shi 
全科	quan ke 
公园	gong yuan 
人大	ren da 
派驻	pai zhu 
救灾	jiu zai 
账户	zhang hu 
医生	yi sheng 
函复	han fu 
台账	tai zhang 
共治	gong zhi 
全方位	quan fang wei 
联防	lian fang 
湖南	hu nan 
财税	cai shui 
试点经验	shi dian jing yan 
安全法	an quan fa 
收购	shou gou 
广西	guang xi 
矿山	kuang shan 
均等化	jun deng hua 
内地	nei di 
标签	biao qian 
重新	chong xin 
教材	jiao cai 
集成	ji cheng 
股东	gu dong 
积极探索	ji ji tan suo 
战略性	zhan lve xing 
调节	tiao jie 
标准规范	biao zhun gui fan 
大湾	da wan 
慢性病	man xing bing 
联控	lian kong 
复产	fu chan 
本地	ben di 
逾期	yu qi 
集体经济	ji ti jing ji 
资助	zi zhu 
每个	mei ge 
落到实处	luo dao shi chu 
市场秩序	shi chang zhi xu 
民航	min hang 
检查和	jian cha he 
成熟	cheng shu 
十二五	shi er wu 
确需	que xu 
课程	ke cheng 
诉求	su qiu 
划定	hua ding 
债转股	zhai zhuan gu 
矛盾	mao dun 
单独	dan du 
所有权	suo you quan 
中央政治局	zhong yang zheng zhi ju 
工作者	gong zuo zhe 
失职	shi zhi 
周期	zhou qi 
劳动力	lao dong li 
避免	bi mian 
站长	zhan zhang 
团结	tuan jie 
普惠	pu hui 
考试	kao shi 
民主党派	min zhu dang pai 
申诉	shen su 
贯彻实施	guan che shi shi 
严重后果	yan zhong hou guo 
农村基层	nong cun ji ceng 
规章制度	gui zhang zhi du 
款项	kuan xiang 
位置	wei zhi 
医师	yi shi 
始终	shi zhong 
广州	guang zhou 
粤港澳	yue gang ao 
途径	tu jing 
理由	li you 
工作日内	gong zuo ri nei 
中小	zhong xiao 
开放型	kai fang xing 
种植	zhong zhi 
党员大会	dang yuan da hui 
国际交流	guo ji jiao liu 
灾区	zai qu 
价值观	jia zhi guan 
综合利用	zong he li yong 
物品	wu pin 
不良影响	bu liang ying xiang 
高度重视	gao du zhong shi 
奖惩	jiang cheng 
类别	lei bie 
治安管理	zhi an guan li 
新闻出版	xin wen chu ban 
公益性	gong yi xing 
素养	su yang 
第三	di san 
助力	zhu li 
关税	guan shui 
制止	zhi zhi 
所属单位	suo shu dan wei 
遵照执行	zun zhao zhi xing 
交易平台	jiao yi ping tai 
全国人大常委会	quan guo ren da chang wei hui 
派出机构	pai chu ji gou 
没收	mo shou 
基层组织	ji ceng zu zhi 
中国科学院	zhong guo ke xue yuan 
院士	yuan shi 
进度	jin du 
助理	zhu li 
全国总工会	quan guo zong gong hui 
国家知识产权局	guo jia zhi shi chan quan ju 
理事会	li shi hui 
宁夏回族自治区	ning xia hui zu zi zhi qu 
专题	zhuan ti 
明确责任	ming que ze ren 
更大	geng da 
标识	biao zhi 
科研项目	ke yan xiang mu 
调控	tiao kong 
进程	jin cheng 
工作部	gong zuo bu 
保障局	bao zhang ju 
出具	chu ju 
董事会	dong shi hui 
管理机制	guan li ji zhi 
力争	li zheng 
解除	jie chu 
主管人员	zhu guan ren yuan 
职业病	zhi ye bing 
移民	yi min 
涉嫌犯罪	she xian fan zui 
警长	jing zhang 
提名	ti ming 
聘任制	pin ren zhi 
三年	san nian 
变相	bian xiang 
链条	lian tiao 
下达	xia da 
并举	bing ju 
福建	fu jian 
临床试验	lin chuang shi yan 
框架	kuang jia 
源头	yuan tou 
流域	liu yu 
结束	jie shu 
法定程序	fa ding cheng xu 
有效期	you xiao qi 
房地产	fang di chan 
自查	zi cha 
增值	zeng zhi 
绩效评价	ji xiao ping jia 
灵活	ling huo 
转换	zhuan huan 
进一步提高	jin yi bu ti gao 
悬挂	xuan gua 
商业秘密	shang ye mi mi 
国外	guo wai 
分为	fen wei 
吸引	xi yin 
电网	dian wang 
并处	bing chu 
开办	kai ban 
批评	pi ping 
金额	jin e 
障碍	zhang ai 
辅助	fu zhu 
多种形式	duo zhong xing shi 
原副	yuan fu 
可控	ke kong 
国籍	guo ji 
招生	zhao sheng 
听证会	ting zheng hui 
环境监测	huan jing jian ce 
客观	ke guan 
征求	zheng qiu 
党纪处分	dang ji chu fen 
评议	ping yi 
固定资产	gu ding zi chan 
管理人员	guan li ren yuan 
终止	zhong zhi 
最高人民法院	zui gao ren min fa yuan 
科学研究	ke xue yan jiu 
管理水平	guan li shui ping 
兼并	jian bing 
域名	yu ming 
上报	shang bao 
低碳	di tan 
热线	re xian 
现代农业	xian dai nong ye 
免费	mian fei 
层面	ceng mian 
出国	chu guo 
答复	da fu 
客运	ke yun 
开设	kai she 
学术	xue shu 
中央军事委员会	zhong yang jun shi wei yuan hui 
消防工作	xiao fang gong zuo 
民办教育	min ban jiao yu 
房屋	fang wu 
保险业	bao xian ye 
中长期	zhong chang qi 
补齐	bu qi 
公共安全	gong gong an quan 
解放军	jie fang jun 
报备	bao bei 
压实	ya shi 
凝聚	ning ju 
市长	shi zhang 
水资源	shui zi yuan 
技术人员	ji shu ren yuan 
护理	hu li 
预算法	yu suan fa 
日前	ri qian 
督办	du ban 
现予	xian yu 
保障性	bao zhang xing 
隔离	ge li 
执纪	zhi ji 
集约化	ji yue hua 
暂停	zan ting 
小区	xiao qu 
大会	da hui 
效应	xiao ying 
党的路线	dang de lu xian 
妥善	tuo shan 
延续	yan xu 
反对	fan dui 
技术标准	ji shu biao zhun 
重要依据	zhong yao yi ju 
平稳	ping wen 
海域	hai yu 
终端	zhong duan 
独立	du li 
长三角	zhang san jiao 
畜禽	chu qin 
国务院扶贫办	guo wu yuan fu pin ban 
权威	quan wei 
编办	bian ban 
计量	ji liang 
均衡	jun heng 
遗属	yi shu 
中医	zhong yi 
供电	gong dian 
司局级	si ju ji 
关注	guan zhu 
自信	zi xin 
行政编制	xing zheng bian zhi 
共同体	gong tong ti 
