各省	ge sheng 
储备局	chu bei ju 
宣城市	xuan cheng shi 
交易所	jiao yi suo 
医政	yi zheng 
空军医院	kong jun yi yuan 
简易程序	jian yi cheng xu 
解决	jie jue 
贴息	tie xi 
政策	zheng ce 
扶志	fu zhi 
暂行条例	zan xing tiao li 
网站	wang zhan 
艰苦奋斗	jian ku fen dou 
第四款	di si kuan 
自贸试验区	zi mao shi yan qu 
增补	zeng bu 
有效期限	you xiao qi xian 
批评	pi ping 
预警系统	yu jing xi tong 
金融管理	jin rong guan li 
护理	hu li 
需求量	xu qiu liang 
华达	hua da 
创新能力	chuang xin neng li 
顺利实现	shun li shi xian 
关注度	guan zhu du 
程序法	cheng xu fa 
排放量	pai fang liang 
漏报	lou bao 
非典型	fei dian xing 
商水县	shang shui xian 
节约能源	jie yue neng yuan 
预留	yu liu 
器材	qi cai 
为民	wei min 
国务院机构改革方案	guo wu yuan ji gou gai ge fang an 
乙类	yi lei 
继承	ji cheng 
公园	gong yuan 
现象	xian xiang 
原料	yuan liao 
分歧	fen qi 
都安瑶族自治县	dou an yao zu zi zhi xian 
无权	wu quan 
创新链	chuang xin lian 
发布量	fa bu liang 
陆地	lu di 
领导班子	ling dao ban zi 
生物资源	sheng wu zi yuan 
可持续	ke chi xu 
资历	zi li 
洋垃圾	yang la ji 
稽查	ji cha 
分开	fen kai 
人民满意	ren min man yi 
年龄段	nian ling duan 
社会主义学院	she hui zhu yi xue yuan 
装卸	zhuang xie 
提供	ti gong 
美术	mei shu 
人民	ren min 
年检	nian jian 
调试	tiao shi 
十九届	shi jiu jie 
国家计划	guo jia ji hua 
沟村	gou cun 
防涝	fang lao 
班长	ban zhang 
投产	tou chan 
招考	zhao kao 
全民所有	quan min suo you 
缔结	di jie 
大胆	da dan 
坚定	jian ding 
新桥	xin qiao 
时限	shi xian 
开除	kai chu 
更为	geng wei 
党建	dang jian 
出来	chu lai 
总工会	zong gong hui 
自由贸易试验区	zi you mao yi shi yan qu 
低收入	di shou ru 
功能性	gong neng xing 
不良行为	bu liang xing wei 
讲师	jiang shi 
权利人	quan li ren 
联盟	lian meng 
集体经济	ji ti jing ji 
副召集人	fu zhao ji ren 
公共资源	gong gong zi yuan 
卫星	wei xing 
电子化	dian zi hua 
互信	hu xin 
工资标准	gong zi biao zhun 
固原	gu yuan 
应有	ying you 
妇幼卫生	fu you wei sheng 
进修班	jin xiu ban 
火车	huo che 
容灾	rong zai 
牢固	lao gu 
由本	you ben 
精益	jing yi 
所属	suo shu 
蒙古族	meng gu zu 
乡政府	xiang zheng fu 
人士	ren shi 
技术支持	ji shu zhi chi 
战略物资	zhan lve wu zi 
赛区	sai qu 
性质	xing zhi 
共产主义	gong chan zhu yi 
武昌区	wu chang qu 
产学研用	chan xue yan yong 
人民政协	ren min zheng xie 
多层次	duo ceng ci 
积极主动	ji ji zhu dong 
扣留	kou liu 
图们江	tu men jiang 
拐卖儿童	guai mai er tong 
各地方	ge di fang 
评语	ping yu 
参事	can shi 
管理	guan li 
谋划	mou hua 
淮南	huai nan 
中国东方航空	zhong guo dong fang hang kong 
两江	liang jiang 
电视机	dian shi ji 
工商部门	gong shang bu men 
财政金融	cai zheng jin rong 
机要	ji yao 
答复	da fu 
大件	da jian 
东欧国家	dong ou guo jia 
演化	yan hua 
经济	jing ji 
中国残联	zhong guo can lian 
雪峰	xue feng 
中遇	zhong yu 
党组织	dang zu zhi 
公益林	gong yi lin 
研究院	yan jiu yuan 
少数民族	shao shu min zu 
政策法规	zheng ce fa gui 
监测	jian ce 
母公司	mu gong si 
原州区	yuan zhou qu 
普通高校	pu tong gao xiao 
中国	zhong guo 
返还	fan huan 
劳动报酬	lao dong bao chou 
达标排放	da biao pai fang 
估价	gu jia 
报警	bao jing 
甘肃	gan su 
非法人	fei fa ren 
聘任制	pin ren zhi 
岭村	ling cun 
厦门大学	xia men da xue 
民主测评	min zhu ce ping 
频谱	pin pu 
交通安全	jiao tong an quan 
资源化	zi yuan hua 
辽宁省	liao ning sheng 
专干	zhuan gan 
不负责任	bu fu ze ren 
经历	jing li 
培训中心	pei xun zhong xin 
差别化	cha bie hua 
零售	ling shou 
大国	da guo 
采信	cai xin 
自然灾害	zi ran zai hai 
良性循环	liang xing xun huan 
一局	yi ju 
龙泉	long quan 
本着	ben zhe 
行政事务	xing zheng shi wu 
合理	he li 
吕梁市	lv liang shi 
司局	si ju 
草食	cao shi 
纺织	fang zhi 
克孜勒	ke zi lei 
管理局	guan li ju 
覆盖	fu gai 
二中	er zhong 
国境	guo jing 
小于	xiao yu 
党务	dang wu 
大兴	da xing 
原子能	yuan zi neng 
各项任务	ge xiang ren wu 
人文	ren wen 
分值	fen zhi 
通行	tong xing 
归口	gui kou 
印刷业	yin shua ye 
竞争机制	jing zheng ji zhi 
优秀干部	you xiu gan bu 
国有股	guo you gu 
中非	zhong fei 
必问	bi wen 
中医药局	zhong yi yao ju 
在岗	zai gang 
咸宁市	xian ning shi 
多措	duo cuo 
会计凭证	kuai ji ping zheng 
题材	ti cai 
良好氛围	liang hao fen wei 
中华人民共和国宪法	zhong hua ren min gong he guo xian fa 
细化	xi hua 
终身	zhong shen 
创作	chuang zuo 
政务	zheng wu 
反映	fan ying 
暂行规定	zan xing gui ding 
治国	zhi guo 
对小微	dui xiao wei 
建筑工程	jian zhu gong cheng 
怀柔	huai rou 
价款	jia kuan 
即可	ji ke 
竞争力	jing zheng li 
筹备组	chou bei zu 
转由	zhuan you 
产生	chan sheng 
抗灾	kang zai 
百色市	bai se shi 
费县	fei xian 
罢免	ba mian 
浦东国际机场	pu dong guo ji ji chang 
民事	min shi 
个别谈话	ge bie tan hua 
负有责任	fu you ze ren 
新一轮	xin yi lun 
进修	jin xiu 
牙膏	ya gao 
紧紧围绕	jin jin wei rao 
敷衍	fu yan 
自上而下	zi shang er xia 
减缓	jian huan 
渔民	yu min 
攀枝花市	pan zhi hua shi 
始终保持	shi zhong bao chi 
获得感	huo de gan 
前期工作	qian qi gong zuo 
安全检查	an quan jian cha 
检查指导	jian cha zhi dao 
大中小企业	da zhong xiao qi ye 
环保总局	huan bao zong ju 
刊载	kan zai 
危害性	wei hai xing 
国家地震局	guo jia di zhen ju 
旧账	jiu zhang 
有效率	you xiao lv 
三科	san ke 
瞄准	miao zhun 
感染者	gan ran zhe 
服务组	fu wu zu 
本科	ben ke 
货邮	huo you 
违法行为	wei fa xing wei 
不含	bu han 
售后服务	shou hou fu wu 
基层组织	ji ceng zu zhi 
荣誉	rong yu 
集散	ji san 
代为	dai wei 
环保部门	huan bao bu men 
文献	wen xian 
修订	xiu ding 
副总经理	fu zong jing li 
水法	shui fa 
现有	xian you 
账号	zhang hao 
无记名	wu ji ming 
不同地区	bu tong di qu 
公路	gong lu 
毒性	du xing 
基本国情	ji ben guo qing 
河乡	he xiang 
签证	qian zheng 
十七	shi qi 
总目录	zong mu lu 
军用	jun yong 
基层单位	ji ceng dan wei 
提供者	ti gong zhe 
曲江	qu jiang 
独资	du zi 
数字	shu zi 
信息网络	xin xi wang luo 
外经贸部	wai jing mao bu 
长久	chang jiu 
主力军	zhu li jun 
查证	cha zheng 
废弃物	fei qi wu 
疫区	yi qu 
鲜活	xian huo 
庄镇	zhuang zhen 
经营机制	jing ying ji zhi 
科学性	ke xue xing 
可用性	ke yong xing 
信息化委员会	xin xi hua wei yuan hui 
立法	li fa 
补充	bu chong 
经济带	jing ji dai 
受害人	shou hai ren 
涵盖	han gai 
体医	ti yi 
并举	bing ju 
满意	man yi 
仡佬族	ge lao zu 
施工单位	shi gong dan wei 
展开	zhan kai 
三评	san ping 
时代性	shi dai xing 
商业银行	shang ye yin hang 
间谍	jian die 
集团	ji tuan 
羊拉乡	yang la xiang 
新能源汽车	xin neng yuan qi che 
登记证	deng ji zheng 
人才培养	ren cai pei yang 
税额	shui e 
筹备	chou bei 
交叉	jiao cha 
存款	cun kuan 
商丘市	shang qiu shi 
州长	zhou zhang 
切块	qie kuai 
疑似病例	yi si bing li 
山区	shan qu 
业主	ye zhu 
核事故	he shi gu 
城市总体规划	cheng shi zong ti gui hua 
虚拟现实	xu ni xian shi 
群众利益	qun zhong li yi 
一并	yi bing 
多个	duo ge 
走私	zou si 
租赁	zu lin 
届亚	jie ya 
密切相关	mi qie xiang guan 
师生员工	shi sheng yuan gong 
美好	mei hao 
社会保险费	she hui bao xian fei 
中央政府	zhong yang zheng fu 
以收定	yi shou ding 
入股	ru gu 
法制办	fa zhi ban 
调解	tiao jie 
若尔盖县	ruo er gai xian 
社会公德	she hui gong de 
总支部	zong zhi bu 
放假	fang jia 
局面	ju mian 
来安县	lai an xian 
主导作用	zhu dao zuo yong 
报上	bao shang 
频率	pin lv 
污水处理	wu shui chu li 
中国航天	zhong guo hang tian 
法庭	fa ting 
该省	gai sheng 
号牌	hao pai 
三局	san ju 
换乘	huan cheng 
勇于	yong yu 
后果	hou guo 
身体	shen ti 
增长极	zeng zhang ji 
密切	mi qie 
特殊	te shu 
派出机构	pai chu ji gou 
一站式	yi zhan shi 
技术改造	ji shu gai zao 
武都	wu dou 
欠发达	qian fa da 
阜平县	fu ping xian 
少年	shao nian 
个体经营	ge ti jing ying 
概念	gai nian 
鹤岗市	he gang shi 
奋斗目标	fen dou mu biao 
一年	yi nian 
服务队	fu wu dui 
这个	zhe ge 
技术性	ji shu xing 
受理	shou li 
国徽	guo hui 
正向	zheng xiang 
公安机关	gong an ji guan 
中心	zhong xin 
徐州市	xu zhou shi 
讲好	jiang hao 
抢修	qiang xiu 
投标人	tou biao ren 
商品质量	shang pin zhi liang 
多式	duo shi 
款物	kuan wu 
德宏	de hong 
天水市	tian shui shi 
支队	zhi dui 
取自	qu zi 
运单	yun dan 
废弃	fei qi 
国家安全	guo jia an quan 
汇集	hui ji 
中共中央国务院	zhong gong zhong yang guo wu yuan 
换领	huan ling 
学校	xue xiao 
金水区	jin shui qu 
周岁	zhou sui 
外资	wai zi 
师资队伍	shi zi dui wu 
十二	shi er 
特派员	te pai yuan 
前湾	qian wan 
阅读	yue du 
封闭	feng bi 
典当行	dian dang xing 
防治	fang zhi 
实地	shi di 
标明	biao ming 
工业	gong ye 
资格证书	zi ge zheng shu 
权益	quan yi 
地位	di wei 
经验交流	jing yan jiao liu 
双方	shuang fang 
北京外国语大学	bei jing wai guo yu da xue 
管理条例	guan li tiao li 
关键环节	guan jian huan jie 
湖村	hu cun 
达到	da dao 
农民工	nong min gong 
国家卫生健康委员会	guo jia wei sheng jian kang wei yuan hui 
每周	mei zhou 
化石	hua shi 
内科主任	nei ke zhu ren 
审判机关	shen pan ji guan 
进出	jin chu 
示范带头	shi fan dai tou 
报表	bao biao 
甘肃省	gan su sheng 
张家港市	zhang jia gang shi 
带头	dai tou 
职业道德	zhi ye dao de 
注入	zhu ru 
区位	qu wei 
春管	chun guan 
普查	pu cha 
案例	an li 
注意	zhu yi 
航发	hang fa 
页岩气	ye yan qi 
完成	wan cheng 
常务委员会	chang wu wei yuan hui 
布图	bu tu 
自觉	zi jue 
前置	qian zhi 
等级证书	deng ji zheng shu 
明确分工	ming que fen gong 
电缆	dian lan 
人事关系	ren shi guan xi 
台湾同胞	tai wan tong bao 
产权制度	chan quan zhi du 
技术攻关	ji shu gong guan 
队长	dui zhang 
战时	zhan shi 
债券	zhai quan 
汇报	hui bao 
国家计划委员会	guo jia ji hua wei yuan hui 
偏差	pian cha 
融资难	rong zi nan 
严厉查处	yan li cha chu 
象牙	xiang ya 
增减	zeng jian 
上报	shang bao 
公益活动	gong yi huo dong 
拨付	bo fu 
大力开展	da li kai zhan 
合规性	he gui xing 
科学城	ke xue cheng 
合法权利	he fa quan li 
纳税人	na shui ren 
科技人员	ke ji ren yuan 
信息库	xin xi ku 
风景名胜区	feng jing ming sheng qu 
投向	tou xiang 
跨国公司	kua guo gong si 
党纪处分	dang ji chu fen 
着眼	zhuo yan 
学历教育	xue li jiao yu 
竞争	jing zheng 
院团	yuan tuan 
机关团体	ji guan tuan ti 
检察官	jian cha guan 
镇巴县	zhen ba xian 
事后	shi hou 
劳模	lao mo 
子公司	zi gong si 
情形	qing xing 
瞒报	man bao 
阿里巴巴	a li ba ba 
国际化	guo ji hua 
例如	li ru 
执纪	zhi ji 
小组会议	xiao zu hui yi 
关键技术	guan jian ji shu 
职业指导	zhi ye zhi dao 
抽查	chou cha 
中队	zhong dui 
小麦	xiao mai 
鲁甸县	lu dian xian 
呼吸科	hu xi ke 
引导	yin dao 
发包	fa bao 
下载	xia zai 
国家标准	guo jia biao zhun 
分院	fen yuan 
解放军总医院	jie fang jun zong yi yuan 
工作日	gong zuo ri 
市县	shi xian 
非洲	fei zhou 
统计人员	tong ji ren yuan 
研制	yan zhi 
勘定	kan ding 
一策	yi ce 
服务大局	fu wu da ju 
背景	bei jing 
滥用	lan yong 
世界卫生组织	shi jie wei sheng zu zhi 
大豆	da dou 
陆海	lu hai 
龙岩市	long yan shi 
入河	ru he 
便于	bian yu 
服饰	fu shi 
着力	zhuo li 
工作日内	gong zuo ri nei 
医保	yi bao 
协管	xie guan 
突击队	tu ji dui 
组织者	zu zhi zhe 
化解矛盾	hua jie mao dun 
教师资格	jiao shi zi ge 
生产资料	sheng chan zi liao 
拖欠	tuo qian 
教室	jiao shi 
生产线	sheng chan xian 
发展改革	fa zhan gai ge 
被拐卖	bei guai mai 
梅河口市	mei he kou shi 
载体	zai ti 
三步走	san bu zou 
亚热带	ya re dai 
丰台区	feng tai qu 
自我约束	zi wo yue shu 
管理权	guan li quan 
双创	shuang chuang 
执业	zhi ye 
训练	xun lian 
保养	bao yang 
轻微	qing wei 
侨务办公室	qiao wu ban gong shi 
农村部	nong cun bu 
养老金	yang lao jin 
吉安县	ji an xian 
工作效率	gong zuo xiao lv 
瓶颈	ping jing 
热线电话	re xian dian hua 
助推	zhu tui 
内贸	nei mao 
追查	zhui cha 
代表性	dai biao xing 
服务处	fu wu chu 
毫不动摇	hao bu dong yao 
平江县	ping jiang xian 
耕地面积	geng di mian ji 
南沙	nan sha 
见效	jian xiao 
基金业	ji jin ye 
侵蚀	qin shi 
当地	dang di 
沿湖	yan hu 
中央政法委	zhong yang zheng fa wei 
非组织	fei zu zhi 
团委书记	tuan wei shu ji 
内资	nei zi 
盐城	yan cheng 
共用	gong yong 
新时代党	xin shi dai dang 
太湖流域	tai hu liu yu 
水产品	shui chan pin 
拓展	tuo zhan 
打拐	da guai 
垫资	dian zi 
老干部	lao gan bu 
决不允许	jue bu yun xu 
国家经委	guo jia jing wei 
党外	dang wai 
加快调整	jia kuai tiao zheng 
第二十六条	di er shi liu tiao 
降至	jiang zhi 
省委	sheng wei 
芦溪县	lu xi xian 
以工代赈	yi gong dai zhen 
尚未	shang wei 
中国出口信用保险公司	zhong guo chu kou xin yong bao xian gong si 
广大党员	guang da dang yuan 
占有	zhan you 
智能	zhi neng 
负责	fu ze 
现场	xian chang 
教学质量	jiao xue zhi liang 
深圳	shen zhen 
遵从	zun cong 
所有者	suo you zhe 
亳州市	bo zhou shi 
珲春	hui chun 
资料	zi liao 
灵寿县	ling shou xian 
财政政策	cai zheng zheng ce 
交由	jiao you 
珠海市	zhu hai shi 
利率	li lv 
家庭医生	jia ting yi sheng 
景区	jing qu 
室主任	shi zhu ren 
稳住	wen zhu 
较为	jiao wei 
服务区	fu wu qu 
税前	shui qian 
哀悼	ai dao 
粤港澳大湾区	yue gang ao da wan qu 
经营者	jing ying zhe 
场址	chang zhi 
个人所得税	ge ren suo de shui 
保亭黎族苗族自治县	bao ting li zu miao zu zi zhi xian 
前往	qian wang 
江永县	jiang yong xian 
评级	ping ji 
副行长	fu hang zhang 
知行合一	zhi xing he yi 
全过程	quan guo cheng 
调休	diao xiu 
科技体制	ke ji ti zhi 
经理层	jing li ceng 
同胞	tong bao 
文化名城	wen hua ming cheng 
广西	guang xi 
暂停	zan ting 
援外	yuan wai 
入侵	ru qin 
京津冀	jing jin ji 
泰州市	tai zhou shi 
十科	shi ke 
看齐	kan qi 
审慎性	shen shen xing 
混兑	hun dui 
文物局	wen wu ju 
为载体	wei zai ti 
潍坊市	wei fang shi 
分级	fen ji 
相结合	xiang jie he 
船舶工业	chuan bo gong ye 
教育者	jiao yu zhe 
倒卖	dao mai 
用人	yong ren 
福利制度	fu li zhi du 
灭火	mie huo 
专精	zhuan jing 
转入	zhuan ru 
走访	zou fang 
九龙	jiu long 
推行	tui xing 
归侨	gui qiao 
洞村	dong cun 
监督管理	jian du guan li 
评论	ping lun 
分享	fen xiang 
多项	duo xiang 
德州市	de zhou shi 
东北师范大学	dong bei shi fan da xue 
复产	fu chan 
间接	jian jie 
珍稀	zhen xi 
监察机关	jian cha ji guan 
高档	gao dang 
获得者	huo de zhe 
新疆生产建设兵团	xin jiang sheng chan jian she bing tuan 
地级	di ji 
医治	yi zhi 
市委	shi wei 
撤职	che zhi 
深入细致	shen ru xi zhi 
基础学科	ji chu xue ke 
中国证监会	zhong guo zheng jian hui 
假冒	jia mao 
指出	zhi chu 
管廊	guan lang 
检查人员	jian cha ren yuan 
联合国	lian he guo 
满族	man zu 
鄂州	e zhou 
家风	jia feng 
整顿	zheng dun 
暗访	an fang 
多证	duo zheng 
预警	yu jing 
运作	yun zuo 
明电	ming dian 
中等职业	zhong deng zhi ye 
证明书	zheng ming shu 
火神	huo shen 
科学试验	ke xue shi yan 
中央网信办	zhong yang wang xin ban 
非银行	fei yin hang 
鄂州市	e zhou shi 
突出位置	tu chu wei zhi 
错误	cuo wu 
整洁	zheng jie 
居民消费	ju min xiao fei 
从轻	cong qing 
举报人	ju bao ren 
不良反应	bu liang fan ying 
镇坪县	zhen ping xian 
货币	huo bi 
湖长制	hu zhang zhi 
设计	she ji 
平稳过渡	ping wen guo du 
药业	yao ye 
保护地	bao hu di 
单位名称	dan wei ming cheng 
菏泽	he ze 
评审	ping shen 
华山	hua shan 
商业保险	shang ye bao xian 
修水县	xiu shui xian 
辅导员	fu dao yuan 
生动	sheng dong 
预算编制	yu suan bian zhi 
湖州	hu zhou 
极地	ji di 
结束	jie shu 
补助费	bu zhu fei 
次生	ci sheng 
东莞	dong guan 
保护意识	bao hu yi shi 
以上	yi shang 
用海	yong hai 
数据资料	shu ju zi liao 
涉嫌	she xian 
公正司法	gong zheng si fa 
法治政府	fa zhi zheng fu 
黟县	yi xian 
平昌县	ping chang xian 
固定	gu ding 
推广站	tui guang zhan 
高起点	gao qi dian 
夯实	hang shi 
四川省	si chuan sheng 
共商	gong shang 
货值	huo zhi 
贵阳市	gui yang shi 
零时	ling shi 
劳务费	lao wu fei 
从严	cong yan 
准确	zhun que 
抽检	chou jian 
谱写	pu xie 
朝阳区	chao yang qu 
既要	ji yao 
阜阳市	fu yang shi 
真性	zhen xing 
承诺制	cheng nuo zhi 
广元市	guang yuan shi 
特殊要求	te shu yao qiu 
准入条件	zhun ru tiao jian 
物业	wu ye 
主任委员	zhu ren wei yuan 
索赔	suo pei 
事业	shi ye 
拒绝	ju jue 
淄博市	zi bo shi 
国防建设	guo fang jian she 
财务报告	cai wu bao gao 
合理布局	he li bu ju 
反间谍	fan jian die 
党的路线	dang de lu xian 
远洋	yuan yang 
调查核实	diao cha he shi 
脱贫致富	tuo pin zhi fu 
农业	nong ye 
产业布局	chan ye bu ju 
专用发票	zhuan yong fa piao 
科学研究	ke xue yan jiu 
流向	liu xiang 
总台	zong tai 
文书	wen shu 
次数	ci shu 
证券	zheng quan 
偏低	pian di 
续展	xu zhan 
妇女儿童	fu nv er tong 
法律顾问	fa lv gu wen 
场地	chang di 
校内	xiao nei 
西南	xi nan 
歪曲	wai qu 
征兵	zheng bing 
小区	xiao qu 
校企	xiao qi 
过量	guo liang 
并视情	bing shi qing 
茶业	cha ye 
幼儿园	you er yuan 
地市	di shi 
英吉沙县	ying ji sha xian 
离职	li zhi 
用地	yong di 
民生	min sheng 
空间规划	kong jian gui hua 
缴款	jiao kuan 
定向	ding xiang 
立案	li an 
文件	wen jian 
贵州	gui zhou 
燃油	ran you 
总会	zong hui 
活动场所	huo dong chang suo 
内外贸	nei wai mao 
商用	shang yong 
逐年	zhu nian 
慈善	ci shan 
乱收费	luan shou fei 
明显改善	ming xian gai shan 
五龙	wu long 
诬告	wu gao 
分配制度	fen pei zhi du 
徽标	hui biao 
竞争能力	jing zheng neng li 
如实	ru shi 
本年度	ben nian du 
合法性	he fa xing 
悬挂	xuan gua 
动用	dong yong 
保安	bao an 
公安交通	gong an jiao tong 
印发	yin fa 
做出	zuo chu 
留守	liu shou 
梯度	ti du 
抵免	di mian 
抗灾救灾	kang zai jiu zai 
发布会	fa bu hui 
码头	ma tou 
主持	zhu chi 
沿线	yan xian 
当事人	dang shi ren 
知识产权局	zhi shi chan quan ju 
节点	jie dian 
起步区	qi bu qu 
标志性	biao zhi xing 
